listing_id,city,state,locality,property_type,area_sqft,builtup_area_sqft,bhk,bathrooms,property_age,year_built,floor,total_floors,furnishing,parking,amenities_count,facing,latitude,longitude,price,price_per_sqft,currency,listing_status,synthetic_data,log_price,location_key
HYD-000001,Hyderabad,Telangana,Narsingi,Apartment,1739,1739,3,4,22,2004,16,20,Semi-Furnished,2,10,East,17.3888861,78.3391382,9960000,5727.43,INR,Sold,True,16.114088,Hyderabad | Narsingi
HYD-000002,Hyderabad,Telangana,Kondapur,Apartment,1107,1107,2,2,4,2022,18,19,Furnished,1,0,South-East,17.4943753,78.4042046,8710000,7868.11,INR,Active,True,15.979982,Hyderabad | Kondapur
HYD-000003,Hyderabad,Telangana,Tarnaka,Apartment,1065,1065,2,2,6,2020,17,20,Furnished,1,3,North,17.4255195,78.5369056,7630000,7164.32,INR,Active,True,15.847599,Hyderabad | Tarnaka
HYD-000004,Hyderabad,Telangana,Punjagutta,Apartment,1193,1193,2,3,16,2010,7,14,Semi-Furnished,1,9,North,17.4156505,78.4461263,6670000,5590.95,INR,Active,True,15.713131,Hyderabad | Punjagutta
HYD-000005,Hyderabad,Telangana,Ameerpet,Apartment,1467,1467,3,3,11,2015,10,15,Unfurnished,1,4,South-West,17.4320519,78.4398262,8470000,5773.69,INR,Active,True,15.952041,Hyderabad | Ameerpet
HYD-000006,Hyderabad,Telangana,Financial District,Apartment,1913,1913,3,4,25,2001,10,12,Semi-Furnished,3,6,South-East,17.4243052,78.3289515,13220000,6910.61,INR,Active,True,16.397241,Hyderabad | Financial District
HYD-000007,Hyderabad,Telangana,Manikonda,Villa,2755,2755,4,4,15,2011,0,0,Furnished,1,1,South-East,17.398094,78.3752542,19800000,7186.93,INR,Active,True,16.801193,Hyderabad | Manikonda
HYD-000008,Hyderabad,Telangana,Miyapur,Apartment,1541,1541,3,3,17,2009,23,32,Semi-Furnished,1,3,East,17.4932898,78.3609137,8510000,5522.39,INR,Sold,True,15.956753,Hyderabad | Miyapur
HYD-000009,Hyderabad,Telangana,Pragathi Nagar,Apartment,1647,1647,3,3,9,2017,18,25,Semi-Furnished,1,0,North,17.5159353,78.3756749,10200000,6193.08,INR,Active,True,16.137898,Hyderabad | Pragathi Nagar
HYD-000010,Hyderabad,Telangana,Madhapur,Apartment,2337,2337,4,4,20,2006,10,16,Furnished,1,7,West,17.4403309,78.3926812,14940000,6392.81,INR,Active,True,16.519553,Hyderabad | Madhapur
HYD-000011,Hyderabad,Telangana,Kondapur,Apartment,1282,1282,2,2,11,2015,16,25,Furnished,2,4,South-West,17.4842061,78.3977934,9780000,7628.71,INR,Active,True,16.09585,Hyderabad | Kondapur
