Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Jadubabur Bazar,2,780,2,2,Unknown,Freehold,Resale,Ready to Move,82,10513,0,1,0,Low
Kolkata,2,800,4,2,Unknown,Unknown,Resale,Ready to Move,28,3500,0,0,0,Low
Kudghat,2,592,3,2,South,Freehold,Resale,Ready to Move,42,6829,1,1,1,Low
Baguiati,3,956,4,2,South - East,Freehold,Resale,Ready to Move,91,7459,0,0,0,Low
Kolkata,2,836,2,1,Unknown,Unknown,Resale,Ready to Move,32,3828,0,0,0,Low
Sonarpur,1,301,3,1,South,Freehold,Resale,Ready to Move,5.1,1594,1,0,0,Low
Dum Dum Park,3,1250,2,3,North - East,Unknown,Resale,Ready to Move,45,3462,1,0,0,Low
Joka,3,734,6,2,Unknown,Freehold,Resale,Ready to Move,82,6749,1,1,0,Low
Ashokgarh,2,680,5,2,Unknown,Unknown,Resale,Ready to Move,40,4938,0,0,0,Low
Behala Chowrasta,3,1200,5,2,South,Freehold,Resale,Ready to Move,72,6000,1,1,0,Low
Netaji Nagar,2,602,4,1,Unknown,Unknown,Resale,Ready to Move,23.5,3357,0,0,0,Low
Kankurgachi,1,400,1,1,Unknown,Freehold,Resale,Ready to Move,42,10500,0,1,0,Low
Rajarhat,1,1200,23,2,East,Freehold,Resale,Ready to Move,180,15000,0,0,0,Mid
Baranagar,2,591,4,1,Unknown,Freehold,Resale,Ready to Move,39,4875,0,1,0,Low
Durgapur Bally,2,672,2,2,South -West,Freehold,Resale,Ready to Move,24,3034,0,1,0,Low
Kaliganj,1,315,1,1,Unknown,Unknown,Resale,Ready to Move,14,4444,0,0,0,Low
Keorapukur,2,680,2,2,Unknown,Unknown,Resale,Ready to Move,20,2564,0,0,0,Low
Durga Nagar,3,1026,3,2,South - East,Freehold,New Property,Unknown,61.5,4800,1,0,0,Low
Rajarhat,2,856,1,2,North,Freehold,Resale,Ready to Move,40,4673,0,0,0,Low
Nabapally Barasat,4,1400,4,2,Unknown,Unknown,Resale,Ready to Move,50,3111,0,0,0,Low
Ho Chi M,3,1425,1,3,Unknown,Freehold,Resale,Ready to Move,79,5544,0,1,0,Low
Barrackpore,1,446,1,1,Unknown,Unknown,Resale,Ready to Move,25,5605,0,0,0,Low
Panihati,2,725,3,2,Unknown,Unknown,Resale,Ready to Move,50,5030,0,0,0,Low
Tollygunge,3,700,0,1,West,Freehold,Resale,Ready to Move,25,2941,0,1,0,Low
Nimta,2,670,4,1,Unknown,Unknown,Resale,Unknown,21.2,3157,0,0,0,Low
Bonhooghly,3,1212,6,2,South - East,Freehold,Resale,Ready to Move,75.5,6229,0,1,0,Low
Santragachi,2,935,3,2,East,Freehold,Resale,Ready to Move,47,5027,1,0,1,Low
Basanta Lal Saha Road,3,1435,1,2,Unknown,Freehold,Resale,Ready to Move,85,5923,0,0,0,Low
Action Area 1,2,900,4,1,East,Freehold,Resale,Ready to Move,93,8416,0,1,0,Low
Selimpur Road,3,1320,3,2,South,Freehold,Resale,Ready to Move,125,9470,0,1,0,Low
Rajarhat,3,928,6,2,North - East,Freehold,Resale,Ready to Move,120,9231,1,0,0,Low
Serampore,2,1100,2,2,Unknown,Unknown,Resale,Ready to Move,43.6,3964,0,0,0,Low
Survey Park,3,800,4,2,South -West,Co-operative Society,Resale,Ready to Move,76,7238,1,1,0,Low
Sector 5 Salt Lake City,3,1050,17,2,South - East,Freehold,Resale,Ready to Move,129,8746,1,1,1,Low
Howrah,3,1475,4,3,East,Freehold,Resale,Ready to Move,145,7672,0,1,0,Low
Jole Doba Para,3,910,1,2,South - East,Freehold,Resale,Ready to Move,42,3691,0,0,0,Low
Kabardanga,2,973,3,2,Unknown,Unknown,Resale,Ready to Move,40,4110.99691675231,1,1,0,Low
Haridevpur,2,710,3,2,North - West,Unknown,Resale,Ready to Move,29,3473,0,1,0,Low
East Mall Road,3,1050,4,2,South - East,Freehold,Resale,Ready to Move,72,5825,1,1,0,Low
Natunpara Bablatala,2,635,1,2,North - East,Freehold,Resale,Ready to Move,30.3,3497,1,1,0,Low
Madhyamgram,2,825,4,2,East,Unknown,Resale,Ready to Move,33,4000,0,1,0,Low
Block B Lake Town,3,1226,1,2,South,Freehold,Resale,Ready to Move,82.5,5382,0,1,0,Low
Kalyan Nagar Rahara,1,410,1,1,North,Freehold,Resale,Ready to Move,13,2692,1,1,0,Low
Gouranganagar,2,838,5,2,North,Freehold,Resale,Ready to Move,75,8950,0,0,0,Low
Baguiati,3,1000,4,2,South,Freehold,Resale,Ready to Move,45,3750,0,1,0,Low
Thakurpukur,2,1008,2,2,South - East,Freehold,Resale,Ready to Move,44,3492,0,1,0,Low
Bally,2,800,1,2,Unknown,Unknown,Resale,Ready to Move,24,3000,0,0,0,Low
Madurdaha,2,810,2,2,East,Co-operative Society,Resale,Ready to Move,48,5926,0,0,0,Low
Rajarhat,3,1038,8,2,South - East,Freehold,Resale,Ready to Move,125,9630,1,1,1,Low
Basanta Lal Saha Road,4,1978,1,3,South,Freehold,Resale,Ready to Move,180,7469,1,1,0,Mid
Behala Chowrasta,3,1200,5,2,South - East,Freehold,New Property,Ready to Move,90,6000,1,1,0,Low
Tollygunge,2,800,4,2,Unknown,Unknown,Resale,Ready to Move,51,5460,0,0,0,Low
New Town,3,1270,24,3,South - East,Freehold,Resale,Ready to Move,165,10390,1,0,0,Mid
Tollygunge Karunamoyee,4,1100,2,3,North,Freehold,Resale,Ready to Move,58,4325,0,1,0,Low
Rajarhat,3,1436,6,2,Unknown,Unknown,Resale,Ready to Move,180,12534.8189415042,0,0,0,Mid
Behala Chowrasta,3,877,12,2,South,Freehold,New Property,Ready to Move,62,5652,1,1,1,Low
Basanta Lal Saha Road,3,1148,4,2,South - East,Freehold,Resale,Ready to Move,82,5714,0,1,0,Low
Dhakuria,2,646,0,2,North,Freehold,Resale,Ready to Move,55,7333,0,0,0,Low
Nayabad,3,840,4,2,North,Freehold,New Property,Ready to Move,55,4583,1,1,0,Low
Jodhpur Park,3,1300,2,2,South,Freehold,Resale,Ready to Move,185,12628,0,1,0,Mid
Behala,3,832,5,2,West,Freehold,Resale,Ready to Move,52,4685,1,1,0,Low
Nagerbazar,2,700,3,1,Unknown,Unknown,Resale,Ready to Move,23,3286,0,0,0,Low
Sector 5 Salt Lake City,3,950,4,2,North - East,Freehold,Resale,Ready to Move,85,7060,0,1,0,Low
Kaikhali,3,1150,3,2,Unknown,Unknown,Resale,Ready to Move,54,4696,0,0,0,Low
New Town,2,780,4,2,South - East,Freehold,Resale,Ready to Move,61,6302,1,0,0,Low
Joka,2,800,3,2,East,Unknown,Resale,Ready to Move,35,4375,0,1,0,Low
Baranagar,1,402,4,1,South - East,Freehold,Resale,Ready to Move,17,3594,0,1,0,Low
Madhyamgram,1,380,2,1,South,Co-operative Society,Resale,Ready to Move,21,3621,1,0,0,Low
New Alipore,3,1370,1,2,South,Freehold,Resale,Ready to Move,170,10513,0,0,1,Mid
Sealdah,3,1695,7,3,Unknown,Unknown,Resale,Ready to Move,195,11504,0,0,0,Mid
Garia,3,1200,2,2,Unknown,Freehold,Resale,Ready to Move,65,5417,0,0,0,Low
Nayabad,2,600,2,2,East,Freehold,Resale,Ready to Move,35.5,4356,1,1,0,Low
Dash Drone,3,1349,4,3,Unknown,Freehold,Resale,Ready to Move,60,4448,0,0,0,Low
Purbalok,3,950,1,2,South -West,Freehold,Resale,Ready to Move,90,6429,0,0,0,Low
New Town,3,966,4,2,East,Co-operative Society,Resale,Ready to Move,130,10961,1,1,0,Low
Madurdaha,3,1280,4,2,West,Freehold,Resale,Ready to Move,82,6260,1,1,0,Low
New Town,3,896,7,2,South - East,Freehold,Resale,Ready to Move,175,19531,1,1,1,Mid
Naktala,3,1313,4,2,North - East,Freehold,New Property,Ready to Move,75,4934,0,1,0,Low
Kamalgazi,2,1040,4,2,Unknown,Unknown,Resale,Ready to Move,40,3846,0,0,0,Low
Joka,3,1128,9,2,Unknown,Unknown,Resale,Ready to Move,80,7092,0,0,0,Low
Birati,4,1500,2,4,East,Freehold,Resale,Ready to Move,100,5828,1,0,0,Low
Sonarpur,2,558,3,2,West,Freehold,Resale,Ready to Move,28,3608,0,1,0,Low
Behala,2,600,2,2,Unknown,Unknown,Resale,Ready to Move,30,4000,0,0,0,Low
Jodhpur Park,4,1611,3,2,Unknown,Unknown,Resale,Ready to Move,200,12415,0,1,0,Mid
Joka,3,792,12,3,Unknown,Freehold,Resale,Ready to Move,75,5531,0,0,0,Low
Tollygunge,3,1468,5,2,South - East,Freehold,Resale,Ready to Move,135,7357,1,1,0,Low
Beleghata,2,550,0,1,South - East,Freehold,Resale,Ready to Move,35,5303,0,0,0,Low
Lake Town,2,780,2,1,South - East,Freehold,Resale,Ready to Move,45,4808,0,1,0,Low
Nayabad,3,1160,1,2,East,Freehold,Resale,Ready to Move,56,4308,0,0,0,Low
Garia Ma,2,700,7,2,North,Freehold,Resale,Ready to Move,46,5111,1,1,0,Low
Naktala,3,1350,3,3,Unknown,Unknown,Resale,Unknown,120,6857,0,0,0,Low
Khardaha,2,800,3,2,South - East,Freehold,Resale,Ready to Move,30,3750,0,1,0,Low
Joka,3,1200,0,2,Unknown,Freehold,Resale,Ready to Move,37,2846,1,0,0,Low
Narkeldanga,2,910,1,2,South - East,Freehold,Resale,Ready to Move,65,6915,1,1,0,Low
Joka,2,803,8,2,South,Freehold,Resale,Ready to Move,62,6181,1,1,0,Low
Joka,2,891,5,2,North - East,Freehold,Resale,Ready to Move,45,5051,1,1,1,Low
Rajpur Sonarpur,3,1144,4,2,South - East,Freehold,Resale,Ready to Move,75,5245,0,1,0,Low
Uttarpara Ch,3,1119,6,2,South,Freehold,Resale,Ready to Move,57,5094,1,1,0,Low
New Garia Station Road,2,700,4,2,South - East,Freehold,Resale,Ready to Move,40,4717,0,1,0,Low
Madhyamgram,2,700,4,2,South -West,Freehold,Resale,Ready to Move,30,3529,1,1,0,Low
Action Area 2D,2,710,2,2,South -West,Freehold,Resale,Ready to Move,70,9859,1,1,0,Low
Manicktala,3,1403,21,3,Unknown,Unknown,Resale,Unknown,165,11761,0,0,0,Mid
Birati,2,550,1,2,South - East,Freehold,Resale,Ready to Move,30,3571,0,1,0,Low
Joka,1,412,4,1,North - East,Freehold,Resale,Ready to Move,19.8,3845,1,1,0,Low
Math Bagan,2,865,3,2,North - East,Freehold,Resale,Ready to Move,30,3000,0,0,0,Low
Rab,3,1250,3,2,North,Freehold,Resale,Ready to Move,225,13694,0,1,0,Mid
Boral,3,884,3,2,South - East,Freehold,Resale,Ready to Move,35,3365,0,1,0,Low
Kamalgazi Sonarpur Road,3,1208,2,2,South - East,Freehold,Resale,Ready to Move,95,6291,0,1,0,Low
Joka,2,476,1,2,South - East,Freehold,Resale,Ready to Move,31,4000,0,1,1,Low
Kasba,2,780,2,2,Unknown,Freehold,Resale,Ready to Move,40,4571,0,0,0,Low
Action Area 2,3,1018,1,2,South - East,Freehold,Resale,Ready to Move,60,4926,1,1,0,Low
Narendrapur Rajpur Sonarpur,2,910,4,2,South,Freehold,Resale,Ready to Move,30,3297,0,0,0,Low
Kalikapur Road,3,1250,2,2,South - East,Freehold,Resale,Ready to Move,67,5360,1,0,0,Low
