Name,Price,Square,Super Area,Status,Bathroom,Floor,Overlooking,Facing,Car Parking,Balcony,Society,Ownership,Transaction
"2 BHK Flat  for Sale in  Jadubabur Bazar, Bhawanipur, Kolkata",₹82 Lac ,"₹10,513 per sqft ",780 sqft,Ready to Move,2,2 out of 4,Main Road,,,,,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹28 Lac ,"₹3,500 per sqft ",800 sqft,Ready to Move,2,4 out of 5,,,,,,,Resale
"2 BHK Flat  for Sale in  Kudghat, Ashok Nagar, Kolkata",₹42 Lac ,"₹6,829 per sqft ",592 sqft,Ready to Move,2,3 out of 5,"Pool, Garden/Park, Main Road",South,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Baguiati, Kolkata",₹91 Lac ,"₹7,459 per sqft ",956 sqft,Ready to Move,2,4 out of 5,,South - East,,2,,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹32 Lac ,"₹3,828 per sqft ",836 sqft,Ready to Move,1,2 out of 4,,,,,,,Resale
"1 BHK Flat  for Sale in  Sonarpur, Kolkata",₹5.1 Lac ,"₹1,594 per sqft ",301 sqft,Ready to Move,1,3 out of 3,Garden/Park,South,,1,BGA Amrita Abashan III,Freehold,Resale
"3 BHK Flat  for Sale in  Dum Dum Park, Kolkata",₹45 Lac ,"₹3,462 per sqft ",1250 sqft,Ready to Move,3,2 out of 4,Garden/Park,North - East,,1,,,Resale
"3 BHK Flat  for Sale in  Joka, Kolkata",₹82 Lac ,"₹6,749 per sqft ",734 sqft,Ready to Move,2,6 out of 13,"Garden/Park, Main Road",,1 Covered,1,Godrej Seven,Freehold,Resale
"2 BHK Flat  for Sale in  Ashokgarh, Kolkata",₹40 Lac ,"₹4,938 per sqft ",680 sqft,Ready to Move,2,5 out of 5,,,,1,,,Resale
"3 BHK Flat  for Sale in  Behala Chowrasta, Kolkata",₹72 Lac ,"₹6,000 per sqft ",1200 sqft,Ready to Move,2,5 out of 5,"Garden/Park, Main Road",South,1 Covered,2,Oxford view,Freehold,Resale
"2 BHK Flat  for Sale in  Netaji Nagar, Kolkata",₹23.5 Lac ,"₹3,357 per sqft ",602 sqft,Ready to Move,1,4 out of 4,,,,1,Amiya Apartment,,Resale
"1 BHK Flat  for Sale in  Kankurgachi, Kolkata",₹42 Lac ,,400 sqft,Ready to Move,1,1 out of 4,Main Road,,,,,Freehold,Resale
"1 BHK Flat  for Sale in  Rajarhat, Kolkata",₹1.80 Cr ,"₹15,000 per sqft ",1200 sqft,Ready to Move,2,23 out of 32,,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Baranagar, Kolkata",₹39 Lac ,"₹4,875 per sqft ",591 sqft,Ready to Move,1,4 out of 5,Main Road,,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Durgapur Bally, Kolkata",₹24 Lac ,"₹3,034 per sqft ",672 sqft,Ready to Move,2,2 out of 5,Main Road,South -West,,1,,Freehold,Resale
