title,price,bhk,area_sqft,parking
JBMR Tathastu,95.0,3.0,,
Risland Sky Mansion,57500000.0,3.0,,
Maa Vaishno Homes,40.0,3.0,,
Radhaya Urbanity,13799999.999999998,4.0,,
S Gambhir Skyline Apartment,11000000.0,4.0,,
Happy Arnav Smart Homes,25.0,3.0,,
Bankey Bihari Homes,40.0,3.0,,
Guru Ji Innovative Homes,10000000.0,3.0,,
Aman Shree Ji Apartment,11000000.0,3.0,,
Aman Tower 28 Bamnoli Dwarka,15500000.0,4.0,,
Altura Green Park Luxury Floors,62500000.0,3.0,,
Happy Grahlaxmi Apartment,23.0,2.0,,
Altura Greater Kailash 2 Ultra Premium Luxury Builder Floors,130000000.0,4.0,,
Happy Deepak Luxury Homes,11000000.0,4.0,,
Altura Lajpat Nagar 3 Premium Builder Floors,95000000.0,4.0,,
Happy Neeru Residency,60.0,4.0,,
Altura Greater Kailash 1 Premium Builder Floor,62500000.0,3.0,,
3 BHK Independent Builder Floor in Daya Basti,16000000.0,3.0,1440.0,1.0
3 BHK Flat in Deenpur,85.0,3.0,1040.0,1.0
3 BHK Flat in Sector 10 Dwarka,29000000.0,3.0,1700.0,1.0
1 BHK Flat in Sector 14 Dwarka,70.0,1.0,650.0,
2 BHK Flat in Burari,27.5,2.0,600.0,
Goyal Premium Floors,11000000.0,3.0,,
Bhawani Luxurious Floors,30.0,4.0,,
Prem Affordable Floors,22.0,4.0,,
Happy Luxurious Homes Uttam Nagar,14.0,3.0,,
The Adarsh Apartment,23.0,3.0,,
Prem Luxurious Floors,35.0,4.0,,
Sun Affordable Flats,25.5,3.0,,
Jini Smart View Floors,10000000.0,4.0,,
3 BHK Flat in Sector 17 Dwarka,17000000.0,3.0,1500.0,1.0
Arora Luxurious Floors,25000000.0,4.0,,
3 BHK Independent Builder Floor in Sector 22 Rohini,10600000.0,3.0,1200.0,
3 BHK Independent Builder Floor in Sector 24 Rohini,13500000.0,3.0,1150.0,
3 BHK Flat in Chhattarpur,80.0,3.0,1400.0,1.0
Arora Luxurious Construction,31000000.0,4.0,,
3 BHK Independent Builder Floor in Safdarjung Enclave,46000000.0,3.0,1800.0,
4 BHK Independent Builder Floor in Sector 24 Rohini,17500000.0,4.0,1400.0,1.0
3 BHK Flat in Sector 11 Dwarka,26800000.0,3.0,1700.0,
4 BHK Flat in Vasant Vihar,170000000.0,4.0,5500.0,1.0
3 BHK Flat in Paschim Vihar,17000000.0,3.0,1300.0,
4 BHK Independent Builder Floor in Rohini Sector 28,14500000.0,4.0,1400.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,40000000.0,4.0,3600.0,
2 BHK Flat in Rajpur,35.0,2.0,720.0,
3 BHK Flat in Sector 23 Dwarka,25700000.0,3.0,1800.0,1.0
4 BHK Independent Builder Floor in Kishan Ganj,37000000.0,4.0,2450.0,1.0
OM Luxurious Floors,22500000.0,5.0,,
4 BHK Independent Builder Floor in East Of Kailash,69000000.0,4.0,3204.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,62500000.0,4.0,3600.0,1.0
Prem Luxury Homes l,25.0,4.0,,
3 BHK Flat in Sector 19 Dwarka,23500000.0,3.0,1850.0,1.0
3 BHK Independent Builder Floor in Defence Colony,90000000.0,3.0,1953.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,43500000.0,4.0,2000.0,
3 BHK Flat in Sector 5 Dwarka,25500000.0,3.0,1500.0,
3 BHK Flat in Sector 5 Dwarka,32000000.0,3.0,1700.0,
4 BHK Independent Builder Floor in Dwarka Mor,75.0,4.0,1201.0,1.0
2 BHK Independent Builder Floor in Shastri Nagar,45.0,2.0,450.0,1.0
2.5 BHK Flat in Vasant Kunj,35000000.0,5.0,1700.0,
2 BHK Flat in Nawada,24.9,2.0,550.0,1.0
3 BHK Flat in Sector 2 Dwarka,27000000.0,3.0,1750.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,37500000.0,4.0,2800.0,
3 BHK Independent Builder Floor in Paschim Vihar,26000000.0,3.0,1350.0,
3 BHK Flat in Paschim Vihar,12000000.0,3.0,1200.0,1.0
3 BHK Flat in Hastsal,65.0,3.0,1080.0,1.0
4 BHK Flat in Sector 5 Dwarka,34700000.0,4.0,2200.0,1.0
3 BHK Flat in Sector 22 Dwarka,29700000.000000004,3.0,1700.0,
4 BHK Independent Builder Floor in Paschim Vihar,60000000.0,4.0,2700.0,
3 BHK Flat in Sector 22 Dwarka,29700000.000000004,3.0,1700.0,1.0
3 BHK Flat in Sector 9 Dwarka,26000000.0,3.0,1600.0,1.0
2 BHK Flat in Mundka,33.0,2.0,765.0,1.0
2 BHK Flat in Lajpat Nagar,22500000.0,2.0,990.0,1.0
2 BHK Independent Builder Floor in Dwarka Mor,36.0,2.0,900.0,1.0
3 BHK Independent Builder Floor in Hastsal,44.0,3.0,675.0,1.0
3 BHK Flat in Sector 22 Dwarka,27500000.0,3.0,1700.0,1.0
3 BHK Flat in Sector 18 Dwarka,30000000.0,3.0,1600.0,
The Sun View Apartments,10000000.0,4.0,,
2 BHK Flat in Sector 10 Dwarka,20500000.0,2.0,1200.0,
2 BHK Flat in Rajpur,47.9,2.0,680.0,
Mantra Premium Affordable Homes,22.0,4.0,,
3 BHK Flat in Sector 18 Dwarka,27000000.0,3.0,1700.0,1.0
3 BHK Independent Builder Floor in Vasant Vihar,100000000.0,3.0,2250.0,
3 BHK Flat in Sector 12 Dwarka,32000000.0,3.0,1800.0,1.0
Jay Hind Apartment,34.99,3.0,,
4 BHK Independent Builder Floor in Paschim Vihar,50000000.0,4.0,2800.0,
Umang Winter Hills,13799999.999999998,4.0,,
4 BHK Flat in Sector 19 Dwarka,47500000.0,4.0,2200.0,
Property The Gokuldham Apartment,10500000.0,4.0,,
4 BHK Independent Builder Floor in Paschim Vihar,50000000.0,4.0,2700.0,
3 BHK Flat in Burari,52.51,3.0,1000.0,
Affordable Floors,10000000.0,4.0,,
Signature Metro Floors,26.0,4.0,,
The Crest By Goyal Builders,10000000.0,4.0,,
3 BHK Independent Builder Floor in Paschim Vihar,31000000.0,3.0,1620.0,1.0
3 BHK Flat in Sector 4 Dwarka,27500000.0,3.0,1800.0,1.0
Jain Luxury Floors,17100000.0,5.0,,
Prem Luxury Floors,30.0,4.0,,
3 BHK Flat in Sector 3 Dwarka,26800000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1700.0,1.0
